sample_id,sample_date,source_document,page,row_annotation,antimony,arsenic,barium,beryllium,cadmium,chromium,cobalt,copper,lead,manganese,molybdenum,nickel,selenium,silver,thallium,vanadium,zinc,strontium,mercury,calcium,magnesium,potassium,sodium
PL1,4/4/2013,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,1.0,<1.0,12,<0.50,<0.50,0.55,<0.50,8.9,<1.0,<10,2.6,2.5,<0.50,<0.50,<0.50,2.0,<10,44,<0.20,‐‐‐,‐‐‐,‐‐‐,‐‐‐
PL1,1/30/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,0.98,1.2,25,<0.50,<0.50,0.97,0.75,23,<1.0,73,6.0,5.8,<0.50,<0.50,<0.50,4.9,37,100,<0.20,14,1.9,3.4,5.5
PL1,2/6/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,1.5,1.0,35,<0.50,<0.50,0.75,0.59,17,<1.0,<10,6.2,5.5,<0.50,<0.50,<0.50,3.4,<10,210,<0.20,28,3.3,3.6,6.6
PL1,2/28/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,0.53,1.1,10,<0.50,<0.50,0.70,<0.50,5.6,<1.0,<10,1.9,3.2,<0.50,<0.50,<0.50,2.8,<10,55,<0.20,8.9,0.94,1.6,2.0
PL1,12/2/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,<0.5,<1.0,16,<0.50,<0.50,1.1,<0.50,3.0,<1.0,32,1.2,1.5,<0.50,<0.50,<0.50,3.7,43,55,<0.20,7.3,1.2,1.7,3.5
PL1,12/12/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,0.82,<1.0,16,<0.50,<0.50,0.68,<0.50,2.2,<1.0,<10,0.68,<1.0,<0.50,<0.50,<0.50,1.2,96,53,<0.20,7.1,1.0,1.5,1.8
PL1,12/11/2015,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,1.2,<1.0,20,<5.0,<0.50,1.2,0.58,11,<1.0,36,3.8,4.0,<0.50,<0.50,<0.50,3.7,24,110,<0.20,16,2.0,3.0,5.0
PL1,1/6/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,0.73,<1.0,31,<0.50,<0.50,0.52,<0.50,3.4,<1.0,<10,0.78,1.2,<0.50,<0.50,<0.50,<1.0,100,64,<0.20,8.5,1.3,3.5,1.2
PL1,3/5/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,1.8,<1.0,24,<0.50,<0.50,1.1,<0.50,13,<1.0,<10,3.8,3.7,<0.50,<0.50,<0.50,5.1,<10,120,<0.20,19,1.6,1.8,2.6
PL1,10/28/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,0.76,<0.40J,7.8J,<0.83J,<0.03J,<3.7J,<0.40J,7.2J,<1.0J,<13J,1.7,2.3J,<0.13J,<0.03J,<0.88J,<7.2J,28,12,<0.13J,1.7,0.2,0.5,0.5
PL1,12/15/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,1.5,1.2,31,<0.50,<0.50,1.4,<0.50,15,<1.0,14,7.4,4.3,<0.50,<0.50,<0.50,6.5,<10,180,<0.20,30,3.5,4.3,10
PL1,3/24/2017,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,2.4,1.4,63,<0.08J,<0.03J,0.81,0.42J,19,0.14J,<65J,6.3,5.0,<0.13J,<0.03J,<0.09J,3.9,9.1J,190,<0.13J,35,2.4J,2.1J,3.9
PL1,1/8/2018,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,0.71,<1.0,18,<0.50,<0.50,0.66,<0.50,8.4,1.3,17,1.9,2.4,<0.50,<0.50,<0.50,3.9,60,80,<0.20,12,1.7,4.0,3.0
PL1,3/22/2018,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,19,,2.1J,<2.0J,73,<1.6J,<0.72J,1.5J,0.38J,15,<1.6J,22J,3.7,3.3J,<1.1J,<0.38J,<0.69J,8.2,73,140,<0.05J,18,2.5,5.6,3.5
