sample_id,sample_date,source_document,page,row_annotation,nitrate_as_n,sulfate,sulfide,total_suspended_solids,chloride,alkalinity_bicarbonate,alkalinity_carbonate,alkalinity_total,total_dissolved_solids
PL1,4/4/2013,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.34,2.9,<0.010,44,---,---,---,---,---
PL1,1/30/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,4.7,16,<0.010,32,4.8,28,<5.0,28,110
PL1,2/6/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,2.9,25,0.025,81,5.5,71,<5.0,71,180
PL1,2/28/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,1.3,3.3,<0.010,120,1.7,30,<5.0,30,65
PL1,12/2/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.39,4.3,<0.020,130,1.7,32,<5.0,32,73
PL1,12/12/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,---,1.4,<0.010,20,0.55,27,<5.0,27,49
PL1,12/11/2015,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.28,10,0.044,62,6.3,45,<5.0,45,70
PL1,1/6/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,<0.10,2.8,<0.020,<10,0.87,29,<5.0,29,38
PL1,3/5/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.24,8.4,0.024,32,1.5,53,<5.0,53,110
PL1,10/28/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.20,1.1,<0.062J,79,0.35J,12,<1.5J,12,37
PL1,12/15/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.54,8.0,0.10,"1,100",3.1,50,<5.0,50,180
PL1,3/24/2017,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,<0.16J,12,<0.004J,<1.1,3.8,93,<1.5J,93,180
PL1,1/8/2018,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,2.9,5.4,<0.010,23,1.6,28,<5.0,28,82
PL1,3/22/2018,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.19,11,<0.044J,66,2.0,54,<3.4J,54,120
PL1,12/4/2019,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.61,---,<0.004,160,---,---,---,---,---
PL1,3/17/2020,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.29,---,<0.004,39,---,---,---,---,---
PL1,12/17/2020,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,No Sample - Dry,,,,,,,,,
PL1,2/28/2023,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,Removed From Network,,,,,,,,,
PL2,4/4/2013,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.26,1.5,<0.020,260,---,---,---,---,---
PL2,1/30/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,No Sample - Dry,,,,,,,,,
PL2,2/6/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.73,6.1,<0.050,310,3.2,33,<5.0,33,190
PL2,2/28/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.31,3.3,0.20,390,1.7,32,<5.0,32,100
PL2,12/2/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.16,<1.0,<0.020,170,0.64,20,<5.0,20,43
PL2,12/12/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,---,2.2,<0.010,260,1.1,170,<5.0,170,64
PL2,12/11/2015,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.23,3.2,0.038,190,5.4,31,<5.0,31,120
PL2,1/6/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.47,1.8,0.061,180,1.1,25,<5.0,25,57
PL2,3/5/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.45,5.8,0.019,67,1.2,38,<5.0,38,100
PL2,10/28/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,1.4,2.1,<0.062J,53,6.6,13,<1.5J,13,91
PL2,12/15/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.21,2.0,0.065,770,1.4,29,<5.0,29,140
PL2,3/24/2017,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.29J,8.2,<0.004J,<1.1,3.1,87,<1.5J,87,150
PL2,1/8/2018,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,2.9,2.5,0.030,18,2.7,17,<5.0,17,65
PL2,3/22/2018,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,1.7,7.3,0.085,740,2.8,55,<3.4J,55,120
PL2,12/4/2019,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.52,---,<0.004,62,---,---,---,---,---
PL2,3/17/2020,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,No Sample - Dry,,,,,,,,,
PL2,12/17/2020,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,No Sample - Dry,,,,,,,,,
PL2,2/28/2023,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,Removed From Network,,,,,,,,,
PL3,4/4/2013,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,2.7,11,0.025,44,---,---,---,---,---
PL3,1/30/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,6.6,17,0.023,66,8.7,72,<5.0,72,240
PL3,2/6/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,5.2,8.9,0.040,89,3.4,32,<5.0,32,140
PL3,2/28/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,4.0,3.5,<0.010,62,2.8,21,<5.0,21,82
PL3,12/2/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,23,,0.23,<1.0,0.021,70,<0.50,15,<5.0,15,37
PL3,12/12/2014,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,24,,---,1.5,<0.010,29,0.87,20,<5.0,20,33
PL3,12/11/2015,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,24,,<0.20,7.5,0.052,81,9.5,99,<5.0,99,110
PL3,1/6/2016,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf,24,,0.10,1.0,0.029,180,0.82,25,<5.0,25,63
