investigation_event,stockpile,sample_id,boring,depth_m,depth_ft,soil_type,sample_date,analyte,value_raw,unit,qualifier,value_type,source_table,source_page,source_document,notes
2004 PSI,Stockpile 2,SR132-26-4.5,26,4.5,15,Stockpile,01/28/04,barium,7950,mg/kg,,total_detection,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,
2004 PSI,Stockpile 2,SR132-26-4.5,26,4.5,15,Stockpile,01/28/04,barium,1220,mg/L,,WET_extractable,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,highlighted in source (soluble > STLC/TCLP)
2004 PSI,Stockpile 2,SR132-26-4.5,26,4.5,15,Stockpile,01/28/04,barium,1610,mg/L,,TCLP_extractable,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,highlighted in source (soluble > STLC/TCLP)
2004 PSI,Stockpile 2,SR132-26-6.0,26,6.0,20,Stockpile,01/28/04,barium,5180,mg/kg,,total_detection,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,
2004 PSI,Stockpile 2,SR132-26-6.0,26,6.0,20,Stockpile,01/28/04,barium,26.3,mg/L,,WET_extractable,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,
2004 PSI,Stockpile 2,SR132-26-6.0,26,6.0,20,Stockpile,01/28/04,barium,41.8,mg/L,,TCLP_extractable,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,
2004 PSI,Stockpile 2,SR132-28-3.0,28,3.0,10,Stockpile,01/28/04,arsenic,10,mg/kg,,total_detection,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,
2004 PSI,Stockpile 2,SR132-28-3.0,28,3.0,10,Stockpile,01/28/04,barium,58200,mg/kg,,total_detection,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,exceeds TTLC 10000
2004 PSI,Stockpile 2,SR132-28-3.0,28,3.0,10,Stockpile,01/28/04,barium,1260,mg/L,,WET_extractable,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,highlighted in source
2004 PSI,Stockpile 2,SR132-28-3.0,28,3.0,10,Stockpile,01/28/04,barium,5630,mg/L,,TCLP_extractable,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,highlighted in source
2004 PSI,Stockpile 2,SR132-29-3.0,29,3.0,10,Stockpile,01/28/04,barium,1030,mg/kg,,total_detection,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,
2004 PSI,Stockpile 2,SR132-29-3.0,29,3.0,10,Stockpile,01/28/04,barium,337,mg/L,,WET_extractable,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,highlighted in source
2004 PSI,Stockpile 2,SR132-31-0.15,31,0.15,0.5,Stockpile,01/28/04,barium,1730,mg/kg,,total_detection,Table 3 (Stockpile No. 2) page 1 of 4,31,6-1-04 Heavy Metal PSI.pdf,
