sample_id,area,boring,depth_interval,analyte,value_raw,unit,value_type,is_nondetect,comment,deeper_than_planned,is_resample,source_table,source_page,source_document
S3 SE BERM,Stockpile 3 Complete Removal,,,barium,69,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 SE BERM,Stockpile 3 Complete Removal,,,lead,3.7,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 SW BERM,Stockpile 3 Complete Removal,,,barium,46,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 SW BERM,Stockpile 3 Complete Removal,,,lead,5.4,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 1-0,Stockpile 3 Complete Removal,,,barium,75,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 1-0,Stockpile 3 Complete Removal,,,lead,2.4,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 2-0,Stockpile 3 Complete Removal,,,barium,64,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 2-0,Stockpile 3 Complete Removal,,,lead,2.1,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 3-0,Stockpile 3 Complete Removal,,,barium,160,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 3-0,Stockpile 3 Complete Removal,,,lead,53,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 4-0,Stockpile 3 Complete Removal,,,barium,240,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 4-0,Stockpile 3 Complete Removal,,,lead,40,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 5-0,Stockpile 3 Complete Removal,,,barium,61,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 5-0,Stockpile 3 Complete Removal,,,lead,1.8,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 6-0,Stockpile 3 Complete Removal,,,barium,240,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 6-0,Stockpile 3 Complete Removal,,,lead,11,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 7-0,Stockpile 3 Complete Removal,,,barium,350,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 7-0,Stockpile 3 Complete Removal,,,lead,3.6,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 8-0,Stockpile 3 Complete Removal,,,barium,290,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 8-0,Stockpile 3 Complete Removal,,,lead,10,mg/kg,raw_detection,,,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 9-0,Stockpile 3 Complete Removal,,,barium,"7,000",mg/kg,raw_detection,,Area Exacvated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 9-0,Stockpile 3 Complete Removal,,,lead,3.6,mg/kg,raw_detection,,Area Exacvated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 9A-0,Stockpile 3 Complete Removal,,,barium,160,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 9A-0,Stockpile 3 Complete Removal,,,lead,2.2,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 10-0,Stockpile 3 Complete Removal,,,barium,"5,100",mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 10-0,Stockpile 3 Complete Removal,,,lead,17,mg/kg,raw_detection,,Area Excavated,,,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 10A-0,Stockpile 3 Complete Removal,,,barium,160,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
S3 10A-0,Stockpile 3 Complete Removal,,,lead,3.7,mg/kg,raw_detection,,,,yes,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf
