metric,value,unit,location_or_well,comparison_basis,source_page,notes
document_scope,groundwater-only,n/a,n/a,n/a,1,"Cover letter subject line reads verbatim: 'Subject: UPDATED COMPARATIVE EVALUATION OF GROUNDWATER DATA'; body text: 'Geocon updated the 2014 comparative evaluation of groundwater data at the Caltrans Modesto Encapsulated Stockpiles'. Document is groundwater-only; contains no soil sampling data table and no soil barium/CHHSL figures."
FMC_upgradient_background_barium,151,µg/L,FMC upgradient wells (unspecified individual wells; described only as 'FMC upgradient background'),baseline compared against barium concentrations in the four remaining Caltrans wells,6,"Verbatim: 'Barium concentrations (Figure 5) remain consistent with those that were measured prior to the 2014 Evaluation and are comparable to the FMC upgradient background concentration of 151 micrograms per liter (µg/l).' Also plotted on Figure 5 as an 'FMC BKGD' line at 150 µg/L (rounded)."
EPA_DWHA_barium,700,µg/L,n/a (regulatory reference value),U.S. EPA drinking-water health advisory; Caltrans well concentrations stated to be well below this,6,"Verbatim: '...are well below the U.S. EPA drinking-water health advisory (DWHA) concentration of 700 µg/l...' Also appears in Table 1 MCL row (pages 9-12) as '(2)' EPA Drinking Water Health Advisory footnote value paired with a California primary MCL of 1000 µg/L."
FMC_SSTL_barium,6210,µg/L,FMC facility (groundwater),health-based site-specific target level for barium in groundwater at the FMC facility; approved by Central Valley RWQCB in the Remedial Action Plan (ERM 2020),6,"Verbatim: '...and are about 40 times less than the health-based site-specific target level for barium in groundwater at the FMC facility of 6,210 µg/l approved by the Central Valley Regional Water Quality Control Board in the Remedial Action Plan (ERM, 2020).'"
barium_ratio_background_to_SSTL_stated,about 40,"x (ratio; document's own qualitative wording)",n/a,"151 µg/L FMC upgradient background vs. 6,210 µg/L FMC site-specific target level",6,"Document's own stated ratio, phrased as '...are about 40 times less than the health-based site-specific target level...'. Recomputed from the document's own two stated values (6210/151) = 41.13, confirming the stated ~40x figure. This is NOT derived from and does not match any '~210 µg/L sitewide mean' figure -- no such mean value appears anywhere in this document."
barium_ratio_background_to_SSTL_computed,41.13,"x (ratio; computed by this extraction, not asserted by document)",n/a,computed as 6210 / 151 from the two document-stated values above,6,"Computed via code from the two verbatim document values (SSTL 6,210 µg/L / background 151 µg/L), not narrated. Confirms consistency with the document's own qualitative '~40 times less' statement."
CA_primary_MCL_barium,1000,µg/L,n/a (regulatory reference value in Table 1),California primary Maximum Contaminant Level,"9,10,11,12","Table 1 MCL summary row lists barium MCL as stacked values '1000 / 700(2)' -- 1000 µg/L primary MCL, 700 µg/L (2)=EPA DWHA. Table 1 repeats on pages 9-12 for wells MW4, MW6, MW9, MW10 respectively; MCL row identical on each page."
EPA_DWHA_strontium,4000,µg/L,n/a (regulatory reference value),U.S. EPA drinking-water health advisory; Caltrans well strontium concentrations described as on average about four times less than this,6,"Verbatim: 'The strontium concentrations in the remaining Caltrans wells are, on average, about four times less than the U.S. EPA DWHA concentration of 4,000 µg/l...' Also in Table 1 MCL row as strontium's sole reference value, footnoted (2) EPA Drinking Water Health Advisory (no primary MCL listed for strontium)."
FMC_SSTL_strontium,61900,µg/L,FMC facility (groundwater),health-based site-specific target level for strontium in groundwater at the FMC facility; approved by Central Valley RWQCB in the Remedial Action Plan (ERM 2020),6,"Verbatim: '...and are more than 20 times less than the health-based site-specific target level for strontium in groundwater at the FMC facility of 61,900 µg/l approved by the Central Valley Regional Water Quality Control Board in the Remedial Action Plan (ERM, 2020).'"
strontium_ratio_DWHA_to_wells_stated,about 4,"x (ratio; document's own qualitative wording)",n/a,"Caltrans well strontium concentrations vs. 4,000 µg/L EPA DWHA",6,"Document's own qualitative statement; not a single computed ratio against one stated well value (wells vary; no single 'Caltrans strontium mean' figure is stated in this document)."
strontium_ratio_wells_to_SSTL_stated,more than 20,"x (ratio; document's own qualitative wording)",n/a,"Caltrans well strontium concentrations vs. 61,900 µg/L FMC site-specific target level",6,"Document's own qualitative statement, verbatim '...more than 20 times less than the health-based site-specific target level...'."
strontium_SSTL_to_DWHA_ratio_computed,15.47,"x (ratio; computed by this extraction, not asserted by document)",n/a,computed as 61900 / 4000 from the two document-stated regulatory reference values above,6,"Computed via code, not narrated; provided for context only -- not a figure the document itself states."
CA_secondary_MCL_TDS,500,mg/L,n/a (regulatory reference value in Table 1),California Secondary MCL,"9,10,11,12","Table 1 MCL row: TDS 500(1), footnote (1)=Secondary MCL."
CA_secondary_MCL_sulfate,250,mg/L,n/a (regulatory reference value in Table 1),California Secondary MCL,"9,10,11,12","Table 1 MCL row: SO4 250(1), footnote (1)=Secondary MCL."
stockpile_3_status,removed - material relocated to Stockpiles 1 and 2,n/a,Stockpile 3 (former location east of SR 99),n/a,7,"Verbatim, Section 4.0 Discussion and Recommendations: 'Since that time, Stockpile 3 has been removed and the soil placed on top of Stockpiles 1 and 2.' Also stated in Section 1.0 Introduction (page 4, footer -2-): 'Construction of Phase I of the SR 99/SR 132 interchange project began in January 2020. Stockpile 3 was removed and the material placed on Stockpiles 1 and 2.' Document does NOT state Stockpile 3 soil is left in place under a deed restriction or Land Use Covenant -- no Land Use Covenant is mentioned anywhere in this document."
well_decommissioning_recommendation,decommission remaining 4 Caltrans wells (MW4 MW6 MW9 MW10) and discontinue groundwater monitoring,n/a,MW4/MW6/MW9/MW10,n/a,7,"Verbatim, Section 4.0: 'we recommend that the remaining four Caltrans monitoring wells be decommissioned and that groundwater monitoring related to the soil stockpiles be discontinued.' Same recommendation stated in the cover letter, page 1."
well_dry_MW4,4 of 11 measurements dry,n/a,MW4,dry periods: September 2014; May 2016; March 2022 through February 2023,5,"Verbatim: 'MW4 - September 2014, May 2016, March 2022 through February 2023 (4 of 11 measurements).'"
well_dry_MW6,6 of 11 measurements dry,n/a,MW6,dry periods: September 2014 through April 2017; March 2022 through February 2023,6,"Verbatim: 'MW6 - September 2014 through April 2017, March 2022 through February 2023 (6 of 11 measurements).'"
well_dry_MW9,8 of 11 measurements dry,n/a,MW9,dry periods: September 2014 through April 2017; April 2019; March 2021 through February 2023,6,"Verbatim: 'MW9 - September 2014 through April 2017, April 2019, March 2021 through February 2023 (8 of 11 measurements).'"
well_dry_MW10,9 of 11 measurements dry,n/a,MW10,dry periods: September 2014 through April 2017; April 2019 through February 2023,6,"Verbatim: 'MW10 - September 2014 through April 2017, April 2019 through February 2023 (9 of 11 measurements).' Confirms wells were dry through February 2023 (the last of the annual sampling events reported), consistent with the prior finding of a Feb 2023 dry-well / decommissioning-recommendation basis."
