sample_id,sample_date,source_document,page,row_annotation,antimony,arsenic,barium,beryllium,cadmium,chromium,cobalt,copper,lead,molybdenum,nickel,selenium,silver,thallium,vanadium,zinc,mercury,strontium
SW-East,3/10/2023,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<8.8,9.2J,160,<3.0,<11UJ,12J+,<1.6,17J+,<4.7,6.6J+,<4.6,<9.3,<2.4,<8.5,25J+,27J+,0.08J,52J
SW-East,12/19/2023,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,270,<3.0,<3.0,<3.0,<3.0,11,<10,15,<5.0,<10,<3.0,18,4.7,43,<0.20,130
SW-East,2/1/2024,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,900,<3.0,<3.0,<3.0,<3.0,13,<10,<5.0,<5.0,<10,<3.0,<15,<3.0,25,<0.20,180
SW-East,2/5/2025,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,390,<3.0,<3.0,<3.0,<3.0,16,<10,16,<5.0,<10,<3.0,<15,6.1,55,<0.20,170
SW-East,2/17/2026,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,150,<3.0,<3.0,5.5,<3.0,5.1,<10,5.4,<5.0,<10,<3.0,<15,<3.0,100,<0.20,74
SW-West,3/10/2023,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<8.8,<7.8,300,<1.6,<3.0,<3.0,<1.6,16J+,<4.7,6.7J+,<4.6,<9.3,<2.4,<8.5,16J+,130,0.07J,77J
SW-West,12/19/2023,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,49,<3.0,<3.0,<3.0,<3.0,11,<10,<5.0,<5.0,<10,<3.0,15,8.1,27,<0.20,99
SW-West,2/1/2024,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,520,<3.0,<3.0,<3.0,<3.0,<5.0,<10,<5.0,<5.0,<10,<3.0,<15,<3.0,240,<0.20,78
SW-West,2/5/2025,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,90,<3.0,<3.0,<3.0,<3.0,14,<10,10,<5.0,<10,<3.0,<15,8.2,39,<0.20,190
SW-West,2/17/2026,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,140,<3.0,<3.0,<3.0,<3.0,5.3,<10,<5.0,<5.0,<10,<3.0,<15,<3.0,160,<0.20,120
BG-West,3/10/2023,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<8.8,8.0J,17,<1.6,<3.0UJ,<2.0,<1.6,14J+,<4.7,13J+,<4.6,12,<2.4,<8.5,13J+,<25,0.06J,63J
BG-West,12/19/2023,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,21,<3.0,<3.0,<3.0,<3.0,7.0,<10,13,<5.0,<10,<3.0,17,6.0,46,<0.20,110
BG-West,2/1/2024,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,10,<3.0,<3.0,<3.0,<3.0,<5.0,<10,<5.0,<5.0,<10,<3.0,<15,<3.0,18,<0.20,<50
BG-West,2/5/2025,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
BG-West,2/17/2026,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf,10,,<10,<10,11,<3.0,<3.0,<3.0,<3.0,<5.0,<10,<5.0,<5.0,<10,<3.0,<15,<3.0,20,<0.20,<50
