investigation_event,location,sample_id,depth_ft,is_background,analyte,value_mgkg,qualifier,value_type,notes
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB1-0.0,0.0,False,Arsenic,0.83,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB1-0.0,0.0,False,Barium,230,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB1-0.0,0.0,False,Lead,14,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB1-0.0,0.0,False,Strontium,26,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB1-3.0,3.0,False,Arsenic,0.25,ND,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB1-3.0,3.0,False,Barium,77,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB1-3.0,3.0,False,Lead,1.9,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB1-3.0,3.0,False,Strontium,21,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB2-0.0,0.0,False,Arsenic,0.85,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB2-0.0,0.0,False,Barium,180,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB2-0.0,0.0,False,Lead,16,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB2-0.0,0.0,False,Strontium,30,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB2-4.0,4.0,False,Arsenic,1.0,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB2-4.0,4.0,False,Barium,43,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB2-4.0,4.0,False,Lead,1.1,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB2-4.0,4.0,False,Strontium,19,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB3-0.0,0.0,False,Arsenic,0.53,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB3-0.0,0.0,False,Barium,190,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB3-0.0,0.0,False,Lead,5.4,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB3-0.0,0.0,False,Strontium,20,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB3-4.0,4.0,False,Arsenic,0.25,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB3-4.0,4.0,False,Barium,120,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB3-4.0,4.0,False,Lead,2.4,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB3-4.0,4.0,False,Strontium,18,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB4-0.0,0.0,False,Arsenic,0.94,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB4-0.0,0.0,False,Barium,240,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB4-0.0,0.0,False,Lead,16,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB4-0.0,0.0,False,Strontium,61,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB4-2.0,2.0,False,Arsenic,0.41,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB4-2.0,2.0,False,Barium,120,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB4-2.0,2.0,False,Lead,10,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - NORTH SIDE,FB4-2.0,2.0,False,Strontium,26,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB5-0.0,0.0,False,Arsenic,1.3,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB5-0.0,0.0,False,Barium,200,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB5-0.0,0.0,False,Lead,17,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB5-0.0,0.0,False,Strontium,31,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB5-4.0,4.0,False,Arsenic,0.74,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB5-4.0,4.0,False,Barium,52,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB5-4.0,4.0,False,Lead,1.6,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB5-4.0,4.0,False,Strontium,28,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB6-0.0,0.0,False,Arsenic,0.53,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB6-0.0,0.0,False,Barium,140,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB6-0.0,0.0,False,Lead,5.7,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB6-0.0,0.0,False,Strontium,28,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB6-4.0,4.0,False,Arsenic,0.54,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB6-4.0,4.0,False,Barium,60,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB6-4.0,4.0,False,Lead,1.7,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
2012 SSI - Fenceline Borings (Sept 2012),Stockpile 1 - SOUTH SIDE,FB6-4.0,4.0,False,Strontium,39,,detection,"SSI Report Table 2 (Fenceline Borings - Title 22 Metals), PDF pp.35-38"
