investigation_event,location,sample_id,depth_ft,is_background,analyte,value_type,value_mgkg,range_low_mgkg,range_high_mgkg,n_samples,qualifier,source_section,source_page_printed,source_page_pdf,notes
2004 PSI,Stockpile 1,,,False,barium,MDC,1730,,,,,2.2.1 Shaw 2004 PSI,13,19,"Barium identified as the only metal detected at elevated concentrations of concern and as the primary COPC in the 2004 PSI (50 borings, 194 stockpile + 49 native soil samples, plus 8 background samples)."
2004 PSI,Stockpile 2,,,False,barium,MDC,60700,,,,,2.2.1 Shaw 2004 PSI,13,19,
2004 PSI,Stockpile 3,,,False,barium,MDC,44900,,,,,2.2.1 Shaw 2004 PSI,13,19,
2004 PSI,Background,,,True,barium,background_range,,57,888,8,,2.2.1 Shaw 2004 PSI,13,19,8 background soil samples from 4 borings in assumed non-impacted ground.
2004 PSI,ALL_STOCKPILES,,,False,nitrate,MDC,310,,,42 of 54,,2.2.1 Shaw 2004 PSI,14,20,"Nitrate max across combined stockpile/native/background soil samples; explicitly 'not at concentrations of concern.' Included as a single available soil data point even though the pipeline's default is to omit nitrate/manganese soil columns; no other nitrate mg/kg soil figure appears in this document (2006 SI reports only DI-WET *soluble* (leachate) nitrate in mg/L, a different measurement type, deliberately excluded here to avoid unit conflation)."
2004 PSI,ALL_STOCKPILES,,,False,strontium,MDC,231,,,,,1.4 Site Characterization,4,10,"Overall max strontium reported in Shaw 2004 PSI, cited in Section 1.4 explaining why Shaw did NOT designate strontium as a COPC in the 2007 HHRA (231 mg/kg is >2 orders of magnitude below USEPA residential RSL of 47,000 mg/kg; no CHHSL exists for strontium). Not stockpile-specific in the source text."
2006 SI,Stockpile 1,,,False,barium,MDC,130,,,,,2.2.2 Shaw 2006 SI (Total Metals),14,20,"Barium described as 'the primary COPC.' 2006 SI: 165 stockpile + 89 native soil samples from 51 borings, plus 24 native background samples from 8 background borings."
2006 SI,Stockpile 2,,,False,barium,MDC,64000,,,,,2.2.2 Shaw 2006 SI (Total Metals),14,20,
2006 SI,Stockpile 3,,,False,barium,MDC,72000,,,,,2.2.2 Shaw 2006 SI (Total Metals),14,20,
2006 SI,Background,,,True,barium,background_range,,17,120,,,2.2.2 Shaw 2006 SI (Total Metals),14,20,
2006 SI,"Stockpiles (2 of 278 samples, stockpile unspecified)",,,False,lead,detection,150,,,,,2.2.2 Shaw 2006 SI (Total Metals),15,21,"One of only two stockpile soil samples with total lead >50 mg/kg (the CA hazardous-waste WET-testing threshold). WET-soluble lead for this sample = 2.9 mg/L, DI-WET soluble = 0.07 mg/L (leachate results, mg/L, not carried into this mg/kg dataset)."
2006 SI,"Stockpiles (2 of 278 samples, stockpile unspecified)",,,False,lead,detection,1500,,,,,2.2.2 Shaw 2006 SI (Total Metals),15,21,"The second of the two >50 mg/kg total-lead samples; this is the site's overall maximum detected lead in soil. WET-soluble lead = 5.7 mg/L, DI-WET soluble = 0.1 mg/L (leachate, mg/L, excluded from this table). QA note: this 1,500 mg/kg value is independently repeated in Section 3.1.2/3.1.3 (printed p.21) as the max lead concentration (0-20 ft depth zone) used in the LeadSpread model -- the two mentions cross-check exactly."
2012 SSI,"Fenceline Borings (all stockpiles, surface)",,,False,barium,detection_range,,140,4300,35,,2.2.3 Geocon 2012 SSI - Fenceline Borings,16,22,"35 Fenceline Borings; surface soil samples. None exceeded CA hazardous waste thresholds; none exceeded residential/industrial CHHSLs of 5,200/63,000 mg/kg."
2012 SSI,"Fenceline Borings (all stockpiles, deepest sample 3-5 ft)",,3-5,False,barium,detection_range,,42,680,,,2.2.3 Geocon 2012 SSI - Fenceline Borings,16,22,
2012 SSI,Background (5-ft-deep samples),,5,True,barium,background_range,,47,110,,,2.2.3 Geocon 2012 SSI - Fenceline Borings,16,22,"Distinct from the 2004 PSI 8-sample background range (57-888 mg/kg, depths 5/10/15 ft) -- this is the range specifically for 5-ft-deep background samples used to interpret Fenceline Boring depth profiles."
2012 SSI,"Perimeter Borings (all stockpiles, surface 3-ft)",,3,False,barium,detection_range,,76,1600,28,,2.2.3 Geocon 2012 SSI - Perimeter Borings,16,22,"28 Perimeter Borings, surface (3-ft) sample only. None exceeded residential/industrial CHHSLs."
2012 SSI,Perimeter Borings (elevated subset: east end Stockpile 2 / SW Stockpile 3),,,False,barium,detection_range,,710,1600,,,2.2.3 Geocon 2012 SSI - Perimeter Borings,16,22,"Elevated subset of the Perimeter Boring surface range above; majority of perimeter surface samples were up to 300 mg/kg (qualitative, no exact range given)."
2012 SSI,Cadmium Borings (Stockpiles 2 and 3),,,False,barium,detection_range,,58,130000,5,,2.2.3 Geocon 2012 SSI - Cadmium Borings,17,23,"5 Cadmium Borings, surface + 5-ft intervals to max depths 11-22 ft. Cadmium was not detected >1.0 mg/kg reporting limit in any Cadmium Boring sample."
