well,analyte,scope,min_detected,min_detected_date,max_detected,max_detected_date,max_reporting_limit_nondetect,max_reporting_limit_date,n_samples_analyzed,n_nondetect,n_detect,unit,regulatory_limit,limit_type,exceedance_ratio_at_max,source_document,source_table,source_pages
MW-1,arsenic,per_well_all_dates,1.1,6/4/2014,3.3,3/18/2013,5.0,3/12/2012,20,3,17,ug/L,10.0,MCL,0.33,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-1,barium,per_well_all_dates,100.0,5/2/2016,190.0,3/18/2013,,,20,0,20,ug/L,1000.0,MCL,0.19,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-1,lead,per_well_all_dates,2.2,3/18/2013,2.2,3/18/2013,6.3,4/12/2018,20,19,1,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.147,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-1,manganese,per_well_all_dates,12.0,1/22/2013,160.0,3/18/2013,50.0,3/12/2012,20,14,6,ug/L,50.0,Secondary MCL,3.2,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-1,strontium,per_well_all_dates,810.0,5/2/2016,1400.0,4/12/2018,,,18,0,18,ug/L,4000.0,EPA Drinking Water Health Advisory (footnote 4; NOT an MCL),0.35,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-1,nitrate_as_n,per_well_all_dates,5.0,6/14/2006,18.0,9/16/2014,,,20,0,20,mg/L,10.0,MCL (health-based),1.8,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 4,31-39 (values); 39 (MCL row)
MW-10,arsenic,per_well_all_dates,1.8,9/5/2013,4.1,6/20/2012,,,12,0,12,ug/L,10.0,MCL,0.41,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-10,barium,per_well_all_dates,59.0,7/17/2012,160.0,6/20/2012,,,12,0,12,ug/L,1000.0,MCL,0.16,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-10,lead,per_well_all_dates,2.2,6/20/2012,2.2,6/20/2012,6.3,4/11/2018,12,11,1,ug/L,15.0,Regulatory Action Level (California Department of Public Health; NOT an MCL per Table 3 footnote 3),0.147,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
MW-10,manganese,per_well_all_dates,14.0,3/18/2013,290.0,6/20/2012,50.0,12/12/2013,12,7,5,ug/L,50.0,Secondary MCL,5.8,06A2542ct_TO97_GW Rpt_final.20230308.pdf,Table 3,21-29 (values); 30 (footnote key); 29 (MCL row)
