location,analyte,unit,n_analyzed,n_detect,n_nondetect,min_detected,min_detected_date,max_detected,max_detected_date,max_detected_qualifier,max_reporting_limit_nondetect,max_reporting_limit_date,regulatory_limit,limit_type,exceedance_ratio_at_max,exceeds_limit,nondetect_rl_above_limit,source_document
BG1,alkalinity_bicarbonate,mg/L,11,11,0,9.2,10/28/2016,56.0,3/22/2018,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,alkalinity_carbonate,mg/L,11,0,11,,,,,,5.0,1/30/2014,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,alkalinity_total,mg/L,11,11,0,9.2,10/28/2016,56.0,3/22/2018,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,antimony,ug/L,15,9,6,0.16,10/28/2016,2.3,3/22/2018,J,8.8,3/10/2023,6.0,primary MCL,0.383,no,yes,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,arsenic,ug/L,15,2,13,1.4,12/4/2019,4.8,3/22/2018,J,7.8,3/10/2023,10.0,primary MCL,0.48,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,barium,ug/L,15,15,0,6.5,10/28/2016,110.0,3/22/2018,,,,1000.0,primary MCL,0.11,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,beryllium,ug/L,15,0,15,,,,,,1.6,3/10/2023,4.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,cadmium,ug/L,15,0,15,,,,,,3.0,3/10/2023,5.0,primary MCL,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,calcium,mg/L,11,11,0,0.94,10/28/2016,15.0,3/22/2018,,,,,no MCL established,,,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,chloride,mg/L,11,10,1,0.41,10/28/2016,4.9,1/30/2014,,0.5,12/2/2014,250.0,secondary MCL,0.02,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
BG1,chromium,ug/L,15,14,1,0.55,12/4/2019,12.0,3/10/2023,J+,3.7,10/28/2016,50.0,primary MCL,0.24,no,,06A2542ct_to97_SurfaceWaterLetter_final.20230328.pdf (Table 4 pp.19-22; Table 5 pp.23-26)
