area,analyte,unit,n_samples,n_detect,n_nondetect,n_resamples,min_detected,min_detected_sample,max_detected,max_detected_sample,bcs_removal_verification_threshold,n_over_threshold,samples_over_threshold,exceedance_ratio_at_max,max_site_specific_background,n_over_background,source_document,source_table,source_pages
Carpenter Road Shoofly,barium,mg/kg,8,8,0,0,28.0,"CSF1, CSF2, CSF3-15",96.0,"CSF1, CSF2, CSF3-2",1000.0,0,,0.096,120.0,0,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - Carpenter Road Shoofly Soil Analytical Results,305
Carpenter Road Shoofly,lead,mg/kg,8,7,1,0,1.4,"CSF1, CSF2, CSF3-10",3.8,"CSF1, CSF2, CSF3-2",80.0,0,,0.048,3.8,0,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - Carpenter Road Shoofly Soil Analytical Results,305
Stockpile 1 MSE Wall Footing,barium,mg/kg,15,15,0,0,42.0,STK1-1-4,420.0,STK1-3-0,1000.0,0,,0.42,120.0,5,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - Stockpile 1 MSE Wall Footing Soil Analytical Results,60
Stockpile 1 MSE Wall Footing,lead,mg/kg,15,14,1,0,1.1,STK1-3-3,6.7,STK1-3-0,80.0,0,,0.084,3.8,3,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - Stockpile 1 MSE Wall Footing Soil Analytical Results,60
Stockpile 2 - East End,barium,mg/kg,14,14,0,2,63.0,S2E 8A-0,4100.0,S2E 8-0,1000.0,2,"S2E 8-0=4,100; S2E 3-0=1,400",4.1,120.0,8,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41
Stockpile 2 - East End,lead,mg/kg,14,14,0,2,1.6,S2E 1-0,35.0,S2E 5-0,80.0,0,,0.438,3.8,5,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41
Stockpile 2 - West End,barium,mg/kg,10,10,0,2,54.0,S2W 8-0,3200.0,S2W 1-0,1000.0,2,"S2W 1-0=3,200; S2W 3-0=1,100",3.2,120.0,4,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41
Stockpile 2 - West End,lead,mg/kg,10,10,0,2,1.5,S2W 1A-0,4.2,S2W 1-0,80.0,0,,0.053,3.8,1,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - BCS Removal Verification Soil Sample Analytical Results,41
Stockpile 2 MSE Wall Footing,barium,mg/kg,29,29,0,0,53.0,STK2-1-4,930.0,STK2-1-0,1000.0,0,,0.93,120.0,14,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - Stockpile 2 MSE Wall Footing Soil Analytical Results,214
Stockpile 2 MSE Wall Footing,lead,mg/kg,29,29,0,0,3.5,STK2-2-0,22.0,STK2-7-0,80.0,0,,0.275,3.8,25,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - Stockpile 2 MSE Wall Footing Soil Analytical Results,214
Stockpile 3 Complete Removal,barium,mg/kg,29,29,0,3,46.0,S3 SW BERM,7000.0,S3 9-0,1000.0,3,"S3 9-0=7,000; S3 10-0=5,100; S3 11-0=2,200",7.0,120.0,18,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40
Stockpile 3 Complete Removal,lead,mg/kg,29,29,0,3,1.6,S3 13-0,53.0,S3 3-0,80.0,0,,0.662,3.8,9,S1908-01-01 Caltrans Modesto Stockpile Interim RACR_12.22 (1).pdf,Table 1 - BCS Removal Verification Soil Sample Analytical Results,40
