analyte,metric,value,unit,source_page,citation,status
scope,document_type,groundwater-only,n/a,1,"Cover letter: 'Subject: UPDATED COMPARATIVE EVALUATION OF GROUNDWATER DATA'; body: 'Geocon updated the 2014 comparative evaluation of groundwater data...'",VERIFIED - confirmed groundwater-only in the document's own words
Barium,FMC_upgradient_background,151 µg/L,µg/L,6,"'...comparable to the FMC upgradient background concentration of 151 micrograms per liter (µg/l).'",VERIFIED
Barium,EPA_DWHA,700 µg/L,µg/L,6,"'...well below the U.S. EPA drinking-water health advisory (DWHA) concentration of 700 µg/l...'",VERIFIED
Barium,FMC_site_specific_target_level,6210 µg/L,µg/L,6,"'...health-based site-specific target level for barium in groundwater at the FMC facility of 6,210 µg/l approved by the Central Valley Regional Water Quality Control Board in the Remedial Action Plan (ERM, 2020).'",VERIFIED
Barium,stated_ratio_background_to_SSTL,about 40x,ratio,6,"'...are about 40 times less than the health-based site-specific target level...' Recomputed check: 6210/151 = 41.13, consistent.","VERIFIED - ratio is background(151)/SSTL(6210) basis, NOT a '210 µg/L sitewide mean' basis"
Barium,CA_primary_MCL,1000 µg/L,µg/L,"9-12","Table 1 MCL row: '1000 / 700(2)'",VERIFIED
Strontium,EPA_DWHA,4000 µg/L,µg/L,6,"'...about four times less than the U.S. EPA DWHA concentration of 4,000 µg/l...'",VERIFIED
Strontium,FMC_site_specific_target_level,61900 µg/L,µg/L,6,"'...more than 20 times less than the health-based site-specific target level for strontium in groundwater at the FMC facility of 61,900 µg/l...'",VERIFIED
TDS,CA_secondary_MCL,500 mg/L,mg/L,"9-12",Table 1 MCL row,VERIFIED
Sulfate,CA_secondary_MCL,250 mg/L,mg/L,"9-12",Table 1 MCL row,VERIFIED
Lead,max_detected_2012-2023,,,,,"UNSUPPORTED / FABRICATED - Lead does not appear anywhere in this document. Table 1 (pages 9-12) has only TDS, SO4, Ba, Sr columns; no lead column, no narrative mention, no reference. Prior claim of 'Lead 8.3 µg/L max detected 2012-2023' attributed to this document is not supported by any content in it."
Arsenic,max_detected_2012-2023,,,,,"UNSUPPORTED / FABRICATED - Arsenic is mentioned only qualitatively (twice, pages 3-4) as one of several constituents historically found in FMC facility groundwater per RWQCB 1998 and Parsons 2009/2013, and as one of the analytes in the 2014 Evaluation's initial screening. It was NOT carried into the detailed statistical analysis (only TDS, sulfate, barium, strontium were, per pages 3-4) and has no numeric concentration, MCL, or target level stated anywhere. Prior claim of 'Arsenic 6.6 µg/L max detected 2012-2023' attributed to this document is not supported by any content in it."
Barium,sitewide_mean_concentration,,,,,"UNSUPPORTED / FABRICATED - No 'sitewide mean ~210 µg/L' figure for barium appears anywhere in this document. The only barium figures stated are the 151 µg/L FMC upgradient background, the 700 µg/L EPA DWHA, and the 6,210 µg/L FMC site-specific target level (SSTL); the document's own ~40x ratio is 6210/151 (=41.13), not 6210 divided by 210 (which would be ~29.6, a different and inconsistent number, and not one the document states or implies)."
Barium (soil),CHHSL_comparison,,,,,"UNSUPPORTED / FABRICATED - This document contains no soil sampling data of any kind (see scope row above), so it contains no soil barium concentrations and makes no comparison to a California Human Health Screening Level (CHHSL) or any other soil standard for barium or any analyte."
Site,Land_Use_Covenant,,,,,"UNSUPPORTED / FABRICATED - No Land Use Covenant, deed restriction, or land-use-control instrument of any kind is mentioned anywhere in this document. The only site-status control mechanism discussed is physical encapsulation of Stockpiles 1 and 2 beneath the SR 132 roadway (see Stockpile_3_status row below)."
Site,Stockpile_3_status,removed - material relocated onto Stockpiles 1 and 2,n/a,"4, 7","Page 4 (Introduction): 'Construction of Phase I of the SR 99/SR 132 interchange project began in January 2020. Stockpile 3 was removed and the material placed on Stockpiles 1 and 2.' Page 7 (Discussion/Recommendations): 'Since that time, Stockpile 3 has been removed and the soil placed on top of Stockpiles 1 and 2.'","VERIFIED - CORRECTS a prior claim that this document describes Stockpile 3 as 'concentration in place under deed restriction'; the document instead describes physical removal and relocation, with no deed restriction/covenant language at all"
Site,well_decommissioning_recommendation,recommend decommissioning MW4/MW6/MW9/MW10 and discontinuing groundwater monitoring,n/a,7,"'...we recommend that the remaining four Caltrans monitoring wells be decommissioned and that groundwater monitoring related to the soil stockpiles be discontinued.'",VERIFIED (re-checked directly against page-6/page-7 text; matches prior finding)
Site,well_dry_status_through_Feb_2023,"MW4 dry 4/11 events; MW6 dry 6/11; MW9 dry 8/11; MW10 dry 9/11, all through Feb 2023",n/a,"5,6","Verbatim per-well dry-date lists, e.g. MW10 - 'September 2014 through April 2017, April 2019 through February 2023 (9 of 11 measurements)'","VERIFIED - confirms wells were dry through the Feb 2023 sampling round, supporting the decommissioning recommendation"
