location,analyte,unit,n_analyzed,n_detect,n_nondetect,min_detected,min_detected_date,max_detected,max_detected_date,max_detected_qualifier,max_reporting_limit_nondetect,max_reporting_limit_date,regulatory_limit,limit_type,exceedance_ratio_at_max,exceeds_limit,nondetect_rl_above_limit,source_document
BG-West,antimony,ug/L,4,0,4,,,,,,10.0,12/19/2023,6.0,primary MCL,,,yes,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,arsenic,ug/L,4,1,3,8.0,3/10/2023,8.0,3/10/2023,J,10.0,12/19/2023,10.0,primary MCL,0.8,no,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,barium,ug/L,4,4,0,10.0,2/1/2024,21.0,12/19/2023,,,,1000.0,primary MCL,0.021,no,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,beryllium,ug/L,4,0,4,,,,,,3.0,12/19/2023,4.0,primary MCL,,,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,cadmium,ug/L,4,0,4,,,,,,3.0,3/10/2023,5.0,primary MCL,,,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,chromium,ug/L,4,0,4,,,,,,3.0,12/19/2023,50.0,primary MCL,,,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,cobalt,ug/L,4,0,4,,,,,,3.0,12/19/2023,,no MCL established,,,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,copper,ug/L,4,2,2,7.0,12/19/2023,14.0,3/10/2023,J+,5.0,2/1/2024,1300.0,primary MCL,0.011,no,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,lead,ug/L,4,0,4,,,,,,10.0,12/19/2023,15.0,primary MCL,,,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,mercury,ug/L,4,1,3,0.06,3/10/2023,0.06,3/10/2023,J,0.2,12/19/2023,2.0,primary MCL,0.03,no,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,molybdenum,ug/L,4,2,2,13.0,3/10/2023,13.0,3/10/2023,J+,5.0,2/1/2024,,no MCL established,,,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,nickel,ug/L,4,0,4,,,,,,5.0,12/19/2023,100.0,primary MCL,,,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,selenium,ug/L,4,1,3,12.0,3/10/2023,12.0,3/10/2023,,10.0,12/19/2023,50.0,primary MCL,0.24,no,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,silver,ug/L,4,0,4,,,,,,3.0,12/19/2023,100.0,secondary MCL,,,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,strontium,ug/L,4,2,2,63.0,3/10/2023,110.0,12/19/2023,,50.0,2/1/2024,,no MCL established,,,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,sulfate,mg/L,3,3,0,6.0,2/17/2026,38.0,12/19/2023,,,,250.0,secondary MCL,0.152,no,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,thallium,ug/L,4,1,3,17.0,12/19/2023,17.0,12/19/2023,,15.0,2/1/2024,2.0,primary MCL,8.5,yes,yes,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,total_dissolved_solids,mg/L,3,3,0,40.0,2/17/2026,180.0,12/19/2023,,,,500.0,secondary MCL,0.36,no,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,vanadium,ug/L,4,2,2,6.0,12/19/2023,13.0,3/10/2023,J+,3.0,2/1/2024,,no MCL established,,,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
BG-West,zinc,ug/L,4,3,1,18.0,2/1/2024,46.0,12/19/2023,,25.0,3/10/2023,5000.0,secondary MCL,0.009,no,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
SW-East,antimony,ug/L,5,0,5,,,,,,10.0,12/19/2023,6.0,primary MCL,,,yes,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
SW-East,arsenic,ug/L,5,1,4,9.2,3/10/2023,9.2,3/10/2023,J,10.0,12/19/2023,10.0,primary MCL,0.92,no,,S2350-01-02_2.17.2026 Stormwater Sampling Report_5.26.pdf (Table 2 p.10; Table 1 p.9)
