# Reported summary statistics from the HHRA UPDATE: (a) 2012 SSI data MDCs/95%UCL as RESTATED in this document's narrative text (cross-check these against Part 1 of the SSI Report summary above -- they should match, since both describe the same underlying 2012 detections), and (b) the 2006 Shaw-investigation COPC-selection tables (Tables 2-5) reproduced as Appendix B. Quoted as-is, never recomputed.
investigation_event,location,sample_id,depth_ft,is_background,analyte,value_type,value_mgkg,source_document,notes
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpile 1 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",multiple,0-1,False,Barium,MDC_reported,240.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.4 (report p.3): '...barium (240 vs. 130 mg/kg)...higher concentrations in the surface soil samples obtained from the September 2012 Fenceline Borings and Perimeter Borings...compared to the HHRA EPCs'"
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpile 1 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",multiple,0-1,False,Lead,MDC_reported,17.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.4 (report p.3): 'lead (17 vs. 12 mg/kg)...higher concentrations in the surface soil samples obtained from the September 2012 Fenceline Borings and Perimeter Borings'"
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpile 1 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",multiple,0-1,False,Strontium,MDC_reported,61.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.4 (report p.4): 'Strontium was detected in each 2012 surface soil sample with a MDC of 61 mg/kg' (Stockpile 1)"
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpile 2 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",multiple,0-1,False,Barium,MDC_reported,4300.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.5 (report p.4): 'barium (4,300 vs. 1,100 mg/kg)...higher concentrations in the surface soil samples obtained from the September 2012 Fenceline Borings and Perimeter Borings'"
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpile 2 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",multiple,0-1,False,Strontium,MDC_reported,110.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.5 (report p.4): 'Strontium was detected in each of the 2012 surface soil samples, with an MDC of 110 mg/kg' (Stockpile 2)"
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpile 3 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",multiple,0-1,False,Barium,MDC_reported,1600.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.5 (report p.4): 'barium (1,600 vs. 250 mg/kg)...higher levels in the surface soil samples obtained from the September 2012 Fenceline Borings and Perimeter Borings'"
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpile 3 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",multiple,0-1,False,Lead,MDC_reported,34.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.5 (report p.4): 'lead (34 vs. 12 mg/kg)...higher levels in the surface soil samples obtained from the September 2012 Fenceline Borings and Perimeter Borings'"
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpile 3 (surface soil, 0-1ft, Fenceline+Perimeter Borings)",multiple,0-1,False,Strontium,MDC_reported,100.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.5 (report p.5): 'Strontium was detected in all but one of the 2012 surface soil samples with a MDC of 100 mg/kg' (Stockpile 3)"
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpiles 1-3 combined (0-20ft bgs, Fenceline+Cadmium Borings)",multiple,0-20,False,Barium,MDC_reported,130000.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.6 (report p.5): 'barium (130,000 vs. 72,000 mg/kg)...detected at higher concentrations in the soil samples obtained from the September 2012 Fenceline Borings and Cadmium Borings...compared to the HHRA EPC'. This is the ~130,000 mg/kg value from SSI Report Table 3, sample CB2-11.0, Stockpile 2, 11 ft bgs (see SSI raw.csv) -- attributed here in the HHRA UPDATE narrative to 'Fenceline Borings and Cadmium Borings' collectively, without naming the specific boring."
"2012 SSI - Fenceline/Perimeter/Cadmium Borings, as restated in HHRA UPDATE narrative (mirrors SSI Report raw data; cross-check only, not independently transcribed here)","Stockpiles 1-3 combined (0-20ft bgs, Fenceline+Cadmium Borings)",multiple,0-20,False,Barium,95_UCL_reported,7556.0,S9525-06-44 HHRA UPDATE Rev.0313.pdf,"HHRA UPDATE narrative, PDF p.6 (report p.5): 'The calculated 95% UCL for the 2012 barium data is 7,556 mg/kg, significantly less than the MDC of 130,000 mg/kg and the EPC of 72,000 mg/kg used in the HHRA.' -- This is the document that states the 7,556 mg/kg 95% UCL figure; it is NOT stated in the SSI Report itself."
