# Part 1: min/max computed from RAW DETECTIONS ONLY (value_type == 'detection'), grouped by (location, analyte), from the SSI Report raw CSV.
location,analyte,min_detected_mgkg,min_sample_id,min_depth_ft,max_detected_mgkg,max_sample_id,max_depth_ft,n_detections_contributing,regulatory_limit_mgkg,limit_type,exceedance_ratio_at_max,extreme_deep_barium_flag,source_document
Stockpile 1 - East End,Barium,170.0,PB6-0.0,0.0,210.0,PB7-0.0,0.0,4,10000,TTLC,0.021,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - East End,Barium,170.0,PB6-0.0,0.0,210.0,PB7-0.0,0.0,4,1000,10x STLC,0.21,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - East End,Barium,170.0,PB6-0.0,0.0,210.0,PB7-0.0,0.0,4,63000,CHHSL (industrial),0.0033,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - East End,Barium,170.0,PB6-0.0,0.0,210.0,PB7-0.0,0.0,4,5200,CHHSL (residential),0.0404,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Arsenic,0.25,FB1-3.0,3.0,1.0,FB2-4.0,4.0,8,500,TTLC,0.002,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Arsenic,0.25,FB1-3.0,3.0,1.0,FB2-4.0,4.0,8,50,10x STLC,0.02,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Arsenic,0.25,FB1-3.0,3.0,1.0,FB2-4.0,4.0,8,0.24,CHHSL (industrial),4.1667,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Arsenic,0.25,FB1-3.0,3.0,1.0,FB2-4.0,4.0,8,0.07,CHHSL (residential),14.2857,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Barium,43.0,FB2-4.0,4.0,240.0,FB4-0.0,0.0,8,10000,TTLC,0.024,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Barium,43.0,FB2-4.0,4.0,240.0,FB4-0.0,0.0,8,1000,10x STLC,0.24,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Barium,43.0,FB2-4.0,4.0,240.0,FB4-0.0,0.0,8,63000,CHHSL (industrial),0.0038,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Barium,43.0,FB2-4.0,4.0,240.0,FB4-0.0,0.0,8,5200,CHHSL (residential),0.0462,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Lead,1.1,FB2-4.0,4.0,16.0,FB2-0.0,0.0,8,1000,TTLC,0.016,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Lead,1.1,FB2-4.0,4.0,16.0,FB2-0.0,0.0,8,250,10x STLC,0.064,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Lead,1.1,FB2-4.0,4.0,16.0,FB2-0.0,0.0,8,320,CHHSL (industrial),0.05,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Lead,1.1,FB2-4.0,4.0,16.0,FB2-0.0,0.0,8,80,CHHSL (residential),0.2,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Strontium,18.0,FB3-4.0,4.0,61.0,FB4-0.0,0.0,8,610000,CHHSL (industrial),0.0001,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - NORTH SIDE,Strontium,18.0,FB3-4.0,4.0,61.0,FB4-0.0,0.0,8,47000,CHHSL (residential) / USEPA RSL,0.0013,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Arsenic,0.31,FB8-4.0,4.0,1.3,FB5-0.0,0.0,10,500,TTLC,0.0026,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Arsenic,0.31,FB8-4.0,4.0,1.3,FB5-0.0,0.0,10,50,10x STLC,0.026,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Arsenic,0.31,FB8-4.0,4.0,1.3,FB5-0.0,0.0,10,0.24,CHHSL (industrial),5.4167,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Arsenic,0.31,FB8-4.0,4.0,1.3,FB5-0.0,0.0,10,0.07,CHHSL (residential),18.5714,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Barium,52.0,FB5-4.0,4.0,200.0,FB5-0.0,0.0,10,10000,TTLC,0.02,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Barium,52.0,FB5-4.0,4.0,200.0,FB5-0.0,0.0,10,1000,10x STLC,0.2,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Barium,52.0,FB5-4.0,4.0,200.0,FB5-0.0,0.0,10,63000,CHHSL (industrial),0.0032,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Barium,52.0,FB5-4.0,4.0,200.0,FB5-0.0,0.0,10,5200,CHHSL (residential),0.0385,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Lead,1.5,FB8-4.0,4.0,17.0,FB5-0.0,0.0,10,1000,TTLC,0.017,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Lead,1.5,FB8-4.0,4.0,17.0,FB5-0.0,0.0,10,250,10x STLC,0.068,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Lead,1.5,FB8-4.0,4.0,17.0,FB5-0.0,0.0,10,320,CHHSL (industrial),0.0531,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Lead,1.5,FB8-4.0,4.0,17.0,FB5-0.0,0.0,10,80,CHHSL (residential),0.2125,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Strontium,27.0,FB7-0.0,0.0,190.0,FB9-4.0,4.0,10,610000,CHHSL (industrial),0.0003,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - SOUTH SIDE,Strontium,27.0,FB7-0.0,0.0,190.0,FB9-4.0,4.0,10,47000,CHHSL (residential) / USEPA RSL,0.004,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
Stockpile 1 - West End,Barium,97.0,PB2-0.0,0.0,160.0,PB3-0.0,0.0,5,10000,TTLC,0.016,,S9525-06-44 Modesto Stockpiles SSI Report Rev.0313.pdf
