# Part 1: min/max computed from RAW DETECTIONS / DETECTION RANGES ONLY (value_type in {detection, detection_range}); excludes MDC/95_UCL/EPC/background_range rows, which are the consultants' own calculated statistics and are listed separately below, as-is.
location,analyte,min_detected_mgkg,max_detected_mgkg,n_raw_rows_contributing,max_source_investigation_event,max_source_page_printed,regulatory_limit_mgkg,limit_type,limit_cited_page_printed,exceedance_ratio_at_max,source_document
Cadmium Borings (Stockpiles 2 and 3),barium,58.0,130000.0,1,2012 SSI,17,5200,CHHSL (residential),16,25.0,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Cadmium Borings (Stockpiles 2 and 3),barium,58.0,130000.0,1,2012 SSI,17,63000,CHHSL (industrial/commercial),16,2.063,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Fenceline Borings (all stockpiles, deepest sample 3-5 ft)",barium,42.0,680.0,1,2012 SSI,16,5200,CHHSL (residential),16,0.131,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Fenceline Borings (all stockpiles, deepest sample 3-5 ft)",barium,42.0,680.0,1,2012 SSI,16,63000,CHHSL (industrial/commercial),16,0.011,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Fenceline Borings (all stockpiles, surface)",barium,140.0,4300.0,1,2012 SSI,16,5200,CHHSL (residential),16,0.827,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Fenceline Borings (all stockpiles, surface)",barium,140.0,4300.0,1,2012 SSI,16,63000,CHHSL (industrial/commercial),16,0.068,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Perimeter Borings (all stockpiles, surface 3-ft)",barium,76.0,1600.0,1,2012 SSI,16,5200,CHHSL (residential),16,0.308,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Perimeter Borings (all stockpiles, surface 3-ft)",barium,76.0,1600.0,1,2012 SSI,16,63000,CHHSL (industrial/commercial),16,0.025,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Perimeter Borings (elevated subset: east end Stockpile 2 / SW Stockpile 3),barium,710.0,1600.0,1,2012 SSI,16,5200,CHHSL (residential),16,0.308,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Perimeter Borings (elevated subset: east end Stockpile 2 / SW Stockpile 3),barium,710.0,1600.0,1,2012 SSI,16,63000,CHHSL (industrial/commercial),16,0.025,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpile 3 (Kansas Ave off-ramp embankment),barium,34.0,1600.0,1,Pre-2012 (Geocon direct-push + hand-auger),6,5200,CHHSL (residential),16,0.308,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpile 3 (Kansas Ave off-ramp embankment),barium,34.0,1600.0,1,Pre-2012 (Geocon direct-push + hand-auger),6,63000,CHHSL (industrial/commercial),16,0.025,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
"Stockpiles (2 of 278 samples, stockpile unspecified)",lead,150.0,1500.0,2,2006 SI,15,,,,,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpiles (unspecified),barium,25000.0,130000.0,1,"2006 SI + 2012 SSI (cumulative, 348 samples)",17,5200,CHHSL (residential),16,25.0,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpiles (unspecified),barium,25000.0,130000.0,1,"2006 SI + 2012 SSI (cumulative, 348 samples)",17,63000,CHHSL (industrial/commercial),16,2.063,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpiles 2 and 3 (cadmium-correlated subset),barium,25800.0,196000.0,1,2004 PSI,17,5200,CHHSL (residential),16,37.692,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf
Stockpiles 2 and 3 (cadmium-correlated subset),barium,25800.0,196000.0,1,2004 PSI,17,63000,CHHSL (industrial/commercial),16,3.111,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf

# Part 2: reported summary statistics (MDC / 95% UCL / EPC / background_range), quoted as-is from the source document -- not recomputed.
investigation_event,location,analyte,value_type,value_mgkg,range_low_mgkg,range_high_mgkg,is_background,n_samples,source_section,source_page_printed,source_page_pdf,source_document,notes
2004 PSI,Stockpile 1,barium,MDC,1730.0,,,False,,2.2.1 Shaw 2004 PSI,13,19,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Barium identified as the only metal detected at elevated concentrations of concern and as the primary COPC in the 2004 PSI (50 borings, 194 stockpile + 49 native soil samples, plus 8 background samples)."
2004 PSI,Stockpile 2,barium,MDC,60700.0,,,False,,2.2.1 Shaw 2004 PSI,13,19,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2004 PSI,Stockpile 3,barium,MDC,44900.0,,,False,,2.2.1 Shaw 2004 PSI,13,19,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2004 PSI,Background,barium,background_range,,57.0,888.0,True,8,2.2.1 Shaw 2004 PSI,13,19,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,8 background soil samples from 4 borings in assumed non-impacted ground.
2004 PSI,ALL_STOCKPILES,nitrate,MDC,310.0,,,False,42 of 54,2.2.1 Shaw 2004 PSI,14,20,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Nitrate max across combined stockpile/native/background soil samples; explicitly 'not at concentrations of concern.' Included as a single available soil data point even though the pipeline's default is to omit nitrate/manganese soil columns; no other nitrate mg/kg soil figure appears in this document (2006 SI reports only DI-WET *soluble* (leachate) nitrate in mg/L, a different measurement type, deliberately excluded here to avoid unit conflation)."
2004 PSI,ALL_STOCKPILES,strontium,MDC,231.0,,,False,,1.4 Site Characterization,4,10,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Overall max strontium reported in Shaw 2004 PSI, cited in Section 1.4 explaining why Shaw did NOT designate strontium as a COPC in the 2007 HHRA (231 mg/kg is >2 orders of magnitude below USEPA residential RSL of 47,000 mg/kg; no CHHSL exists for strontium). Not stockpile-specific in the source text."
2006 SI,Stockpile 1,barium,MDC,130.0,,,False,,2.2.2 Shaw 2006 SI (Total Metals),14,20,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Barium described as 'the primary COPC.' 2006 SI: 165 stockpile + 89 native soil samples from 51 borings, plus 24 native background samples from 8 background borings."
2006 SI,Stockpile 2,barium,MDC,64000.0,,,False,,2.2.2 Shaw 2006 SI (Total Metals),14,20,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2006 SI,Stockpile 3,barium,MDC,72000.0,,,False,,2.2.2 Shaw 2006 SI (Total Metals),14,20,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2006 SI,Background,barium,background_range,,17.0,120.0,True,,2.2.2 Shaw 2006 SI (Total Metals),14,20,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,
2012 SSI,Background (5-ft-deep samples),barium,background_range,,47.0,110.0,True,,2.2.3 Geocon 2012 SSI - Fenceline Borings,16,22,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Distinct from the 2004 PSI 8-sample background range (57-888 mg/kg, depths 5/10/15 ft) -- this is the range specifically for 5-ft-deep background samples used to interpret Fenceline Boring depth profiles."
2007 HHRA (based on 2006 SI data),Stockpile 2,arsenic,95_UCL,1.63,,,False,,3.1.1 Current Offsite Resident and Trespasser,20,26,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Drove the 2007 HHRA's Stockpile 2 cancer-risk estimate (1.45E-5). Excluded from the final Stockpile 2 risk total because it was statistically indistinguishable from the background arsenic UCL below.
2007 HHRA (based on 2006 SI data),Background,arsenic,95_UCL,1.15,,,True,,3.1.1 Current Offsite Resident and Trespasser,20,26,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,"Background arsenic 95th UCL; associated cancer-risk estimate (1.15E-5) is very close to the Stockpile 2 arsenic estimate, which is why Shaw excluded arsenic from Stockpile 2's final risk total."
2007 HHRA (based on 2006 SI data),Stockpile 2,lead,95_UCL,30.0,,,False,,3.1.1 Current Offsite Resident and Trespasser,20,26,S9800-01-17 Modesto Soil Stockpiles Final FS Report.0614.pdf,Used in the LeadSpread model; all percentiles of adults/children projected <10 ug/dL blood lead.
