facility_name,address,city,county,lat,lon,rmp_program_level,naics,chemical,cas,qty_lbs_on_site,scenario,worst_case_distance_miles,worst_case_distance_meters,radius_source,incident_history,notes,data_source,verification
GKN Aerospace (MMA Tank),"2851 Western Ave, Garden Grove, CA 92841",Garden Grove,Orange County,33.7852,-117.9687,3,336413,Methyl Methacrylate,80-62-6,283000,"Toxic worst-case (F stability, 1.5 m/s, rural)",0.9,1448,EPA OCA Guidance Table B-1 interpolation,2026-05-24 thermal runaway / evacuation,Prompted Garden Grove/Cypress/Stanton evacuation May 2026,EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Tesoro Refining (now Marathon) — Carson,"2350 E 223rd St, Carson, CA 90745",Carson,Los Angeles,33.8458,-118.2598,3,324110,Hydrogen Sulfide,7783-06-4,50000,"Toxic worst-case (F stability, 1.5 m/s, rural)",2.6,4184,EPA OCA Guidance Table B-1 interpolation,,"Proximity to Dominguez Hills, Carson High School",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Tesoro Refining (now Marathon) — Carson,"2350 E 223rd St, Carson, CA 90745",Carson,Los Angeles,33.8458,-118.2598,3,324110,Flammable Mixture,FLAM,2000000,VCE worst-case (overpressure 1 psi),0.02,30,Simplified TNT equivalence (see RMP*Comp for verified value),,"Proximity to Dominguez Hills, Carson High School",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Chevron El Segundo Refinery,"324 W El Segundo Blvd, El Segundo, CA 90245",El Segundo,Los Angeles,33.9153,-118.4194,3,324110,Hydrogen Sulfide,7783-06-4,100000,"Toxic worst-case (F stability, 1.5 m/s, rural)",2.6,4184,EPA OCA Guidance Table B-1 interpolation,,"Adjacent to residential neighborhoods, LAX flight path",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Chevron El Segundo Refinery,"324 W El Segundo Blvd, El Segundo, CA 90245",El Segundo,Los Angeles,33.9153,-118.4194,3,324110,Flammable,FLAM,5000000,VCE worst-case (overpressure 1 psi),0.03,41,Simplified TNT equivalence (see RMP*Comp for verified value),,"Adjacent to residential neighborhoods, LAX flight path",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Torrance Refinery (ExxonMobil → PBF Energy),"3700 W 190th St, Torrance, CA 90504",Torrance,Los Angeles,33.8625,-118.3632,3,324110,Hydrogen Sulfide,7783-06-4,80000,"Toxic worst-case (F stability, 1.5 m/s, rural)",2.6,4184,EPA OCA Guidance Table B-1 interpolation,"2015-02-18 explosion and fire, alkylation unit",2015 blast shattered windows 1+ miles away. ~400k residents in worst-case HF plume zone,EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
LA County Sanitation Districts — Joint Water Pollution Control Plant,"24501 S Figueroa St, Carson, CA 90745",Carson,Los Angeles,33.8197,-118.2718,3,221320,Chlorine,7782-50-5,150000,"Toxic worst-case (F stability, 1.5 m/s, rural)",8.1,13036,EPA OCA Guidance Table B-1 interpolation,,Largest wastewater treatment plant in Western US. Chlorine for disinfection.,EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Univar Solutions — Commerce,"4040 E 26th St, Commerce, CA 90040",Commerce,Los Angeles,34.0147,-118.1453,3,424690,Chlorine,7782-50-5,90000,"Toxic worst-case (F stability, 1.5 m/s, rural)",7.72,12423,EPA OCA Guidance Table B-1 interpolation,,"Chemical distribution warehouse, dense residential area",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Univar Solutions — Commerce,"4040 E 26th St, Commerce, CA 90040",Commerce,Los Angeles,34.0147,-118.1453,3,424690,Ammonia,7664-41-7,60000,"Toxic worst-case (F stability, 1.5 m/s, rural)",1.42,2279,EPA OCA Guidance Table B-1 interpolation,,"Chemical distribution warehouse, dense residential area",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Univar Solutions — Commerce,"4040 E 26th St, Commerce, CA 90040",Commerce,Los Angeles,34.0147,-118.1453,3,424690,Hydrochloric Acid,7647-01-0,200000,"Toxic worst-case (F stability, 1.5 m/s, rural)",2.0,3219,EPA OCA Guidance Table B-1 interpolation,,"Chemical distribution warehouse, dense residential area",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Airgas USA — Vernon,"3838 S Soto St, Vernon, CA 90058",Vernon,Los Angeles,33.9986,-118.2156,3,325120,Chlorine,7782-50-5,90000,"Toxic worst-case (F stability, 1.5 m/s, rural)",7.72,12423,EPA OCA Guidance Table B-1 interpolation,,"Industrial gas distributor, Vernon industrial corridor",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Airgas USA — Vernon,"3838 S Soto St, Vernon, CA 90058",Vernon,Los Angeles,33.9986,-118.2156,3,325120,Ammonia,7664-41-7,90000,"Toxic worst-case (F stability, 1.5 m/s, rural)",1.71,2757,EPA OCA Guidance Table B-1 interpolation,,"Industrial gas distributor, Vernon industrial corridor",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Airgas USA — Vernon,"3838 S Soto St, Vernon, CA 90058",Vernon,Los Angeles,33.9986,-118.2156,3,325120,Hydrogen Cyanide,74-90-8,5000,"Toxic worst-case (F stability, 1.5 m/s, rural)",1.4,2253,EPA OCA Guidance Table B-1 interpolation,,"Industrial gas distributor, Vernon industrial corridor",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Dominguez Hills Water Reclamation Facility,"21840 S Wilmington Ave, Carson, CA 90810",Carson,Los Angeles,33.8498,-118.2604,2,221320,Chlorine,7782-50-5,50000,"Toxic worst-case (F stability, 1.5 m/s, rural)",5.9,9495,EPA OCA Guidance Table B-1 interpolation,,,EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Praxair (now Linde) — Long Beach,"3525 E Pacific Coast Hwy, Long Beach, CA 90804",Long Beach,Los Angeles,33.7975,-118.1463,3,325120,Chlorine,7782-50-5,45000,"Toxic worst-case (F stability, 1.5 m/s, rural)",5.61,9027,EPA OCA Guidance Table B-1 interpolation,,Industrial gases; near Port of Long Beach,EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
Pacific Enterprises (SoCalGas) — Aliso Canyon,"11600 Aliso Canyon Rd, Porter Ranch, CA 91326",Porter Ranch,Los Angeles,34.2948,-118.559,3,486210,Hydrogen Sulfide,7783-06-4,500000,"Toxic worst-case (F stability, 1.5 m/s, rural)",2.6,4184,EPA OCA Guidance Table B-1 interpolation,"2015-10-23 blowout, 100,000+ tons CH4, largest US methane leak","Aliso Canyon blowout displaced 8,000+ families over 4 months",EPA RMP (public) + EPA ECHO + manual research,VERIFY with ALOHA desktop app or RMP*Comp before publication
